微博内容,发布者名称,发布时间及设备,发布者主页
#风变7周年#从2018年1月18日开始学习熊猫小课的时间管理营（后勤学计划全勤学完了所有课程），1月23日加入风变熊猫书院的优势计划，到4月熊猫书院的每周阅读，再到后来学的磕磕绊绊的python小课，风变从未放弃过我。四年多家里躺满了风变周边，我也见证了风变的成长与转型，风变从未让我失望过,斑妃竹_Angie,04月01日22:34 来自iPhone客户端,https://weibo.com/3994457537?refer_flag=1001030103_
#风变编程##春日习惯养成#好久不见，但从未忘记，用来记录今日学习！openpyxl引入Python，让你学会处理工作簿，工作表，单元格，表头，框架，颜色，对齐方式等等！厉害！@风变编程​,懿爱钟之兽瘦的窝与哇,04月01日22:33 来自OPPOR15梦镜版,https://weibo.com/2403935727?refer_flag=1001030103_
好难好难学不会fintableaupython有病啊啊啊​,Salicylicccc,04月01日22:29 来自iPhone客户端,https://weibo.com/5219480574?refer_flag=1001030103_
上周奶中安可到底要ajunice几次这周奶中Python老师又在发什么疯​,一粒兔牙,04月01日22:29 来自HUAWEIMate40,https://weibo.com/6648519112?refer_flag=1001030103_
今天也写python到半夜了我爱死上学了​,不想被领养的猫,04月01日22:29 来自iPhone客户端,https://weibo.com/6896608129?refer_flag=1001030103_
博君一肖姐妹们！！！有无会Python的，求教啊啊啊啊啊用seleniumscrapIMDbreview的！！！！​,肖宝的八倍镜,04月01日22:29 来自博君一肖超话,https://weibo.com/5261960659?refer_flag=1001030103_
哎烦。。这b调休。。调来调去发现我只有周二的课不用上可是伤心的是我周二本来就只有一节课想到明天满课就算了还又有我最讨厌的python课坐在那体会老师：我：​展开c,我很困困了o0,04月01日22:26 来自iPhone13ProMax,https://weibo.com/5863898061?refer_flag=1001030103_
计算机二级小黑老师课程、题库，office安装包、Excel、PPT、Word和真题专题都有，Python和C语言课程也有，滴我🈚️尝!​!​​​​,悸礼怡,04月01日22:26 来自计算机二级超话,https://weibo.com/7648801343?refer_flag=1001030103_
Java和python我已经学混乱了​,泡面吃鲜虾鱼板,04月01日22:24 来自nova7你在焦点在,https://weibo.com/5848487217?refer_flag=1001030103_
编程技术一直在迭代更新，需要一直不断学习。网课太贵，但是你遇到了我，一切变得美好！随机资料展示：《【NX】大数据开发工程师前能力巩固视频?》《【L男孩】MySQLDBA周末班2期（高级数据库课程销量榜首）》《来offer人工智能与数据科学》《CC++从入门到精通-高级程序员之路【QN学​展开c,IT编程资料馆_看置顶找我,04月01日22:18 来自微博weibo.com,https://weibo.com/6419522392?refer_flag=1001030103_
//@中国矿业大学:恭喜@射手Gong2037等3名用户获得【《Python编程：从入门到实践》】。微博官方唯一抽奖工具@微博抽奖平台对本次抽奖进行监督，结果公正有效。公示链接：O网页链接,宇宙拿铁一号,04月01日22:16 来自vivoX20全面屏手机,https://weibo.com/7707560094?refer_flag=1001030103_
来个人教我python😭👊​,芥末章鱼哇,04月01日22:13 来自iPhone客户端,https://weibo.com/6131190903?refer_flag=1001030103_
看了两天才知道这个大创是拿python编的，我说我怎么什么都看不懂()​,一团蓝色的空气,04月01日22:09 来自OPPO超视野全面屏R15,https://weibo.com/7308806346?refer_flag=1001030103_
看舍友在讨论python题可是我早敲出来了​,joker娅,04月01日22:08 来自vivoS10Pro,https://weibo.com/6352713652?refer_flag=1001030103_
最近一段时间感觉心情不是很好，这两天在减肥，已经开始了三天了体重也在浮浮沉沉没有多少的变化；要写的作业也做不出来，就类似与上机的实验，总是会有很多的bug，也不知道怎么改；还有一门课程需要填写调查问卷，需要收集100多分，也收不上来，也不想去收集了；报名了计算机二级和六级​展开c,不知名奶糖NGC2237,04月01日22:07 来自新版微博weibo.com,https://weibo.com/6601664136?refer_flag=1001030103_
#Python#我真的很痛苦为什么要对我一个非计算机专业的要求那么严格我的奇数和为什么算不对啊写一个小时了都CSDN也找不到我会用的能用的​,数咩都不数星星,04月01日22:02 来自HUAWEIMate305G,https://weibo.com/2142474760?refer_flag=1001030103_
//@爱可可-爱生活:《程序员数学：用Python学透线性代数和微积分》今日开奖，欢迎参与～,小学生-杨,04月01日22:01 来自HUAWEIP40Pro5G,https://weibo.com/5744884643?refer_flag=1001030103_
讨厌python​,我敬你是条越南境内的姜丝,04月01日21:58 来自华为畅享10S,https://weibo.com/7375196515?refer_flag=1001030103_
情绪很平和，心情较愉悦，是因为充实着过了今天么？学习Python、看财务书籍、安静耐心批改孩子作业让一天很nice​,紫晶03,04月01日21:54 来自三星S205G,https://weibo.com/5544971723?refer_flag=1001030103_
Python用久了再来用C语言总忘分号我真的会谢啊​,阿丑别熬夜了,04月01日21:54 来自vivoS9极夜柔光自拍,https://weibo.com/5900708028?refer_flag=1001030103_
每写一道Python我都会崩溃一次这样的状态真的能在半个月之后结业考吗我不懂最近的各科都要了命了为什么宏经线代都会被我学成这个鬼样子还好游泳考完了噢耶还有半个多月期中考试拼一拼搏一搏（图文不符^_^​,想着你的花,04月01日21:52 来自OPPOReno5Pro5G,https://weibo.com/5521041345?refer_flag=1001030103_
"第一类:经济，金融，财务，会计，贸易第二类:计算机科学，计算机网络，人工智能，大数据，Java,web,Python,Linux,JavaScript,PHP第三类:教育学，心理学，医学，中药学，体育竞技，电子竞技第四类:美术，素描，动漫，设计，音乐，吉他，钢琴，小提琴第五类:语言表达:英语，日语，德语，法语，​展开c",政面微观MX,04月01日21:47 来自Android,https://weibo.com/1263853113?refer_flag=1001030103_
2月下旬来的上海，转眼就步入了4月。3月好像没有太多值得回忆和留念的东西。快节奏的生活让我每天都手忙脚乱，略感疲惫😫。不是在工作，就是在备菜的过程中。。。偶尔有一些可以自主支配的时间，却都忙着刷抖音和睡觉。暂时把学业给搁置了。最近也有家人和朋友们发来慰问，被朋友和​展开c,奇洛·李维斯,04月01日21:44 来自Konan’siPhoneX,https://weibo.com/6012396765?refer_flag=1001030103_
大徒弟装个python能把环境变量都删了我的老天鹅除了重装系统还有其他办法么好充实的愚人节​,--京--,04月01日21:43 来自iPhone13,https://weibo.com/3155188237?refer_flag=1001030103_
老天爷啊，我真要被我的小组整无语了想python大作业课题，我一开始就说“预测机票价格”，他们唧唧歪歪。他们想做“出生率和GDP”“预测中国何时能达到全民高水平收入”，我觉得影响因素太多，跟我们没联系，我又提“预测未来海平线上升趋势”，又哼哼唧唧。我真的好无语啊！！讨论了两天，最后发现可​展开c,第二章介绍,04月01日21:42 来自iPhone客户端,https://weibo.com/7330411562?refer_flag=1001030103_
#求职季##实习季#【好未来学而思网校战略实习生-远程实习】工作职责：1.协助跟踪、分析行业内产品动态，洞察竞品走向，寻找新的业务增长点，识别潜在机会，推动创新业务战略进一步完善2.搜索和分析底层数据，熟练掌握office，通过定性和定量分析找出市场机会3.深入理解部门业务结构并进行​展开c,鱼宝宝帮你拿Offer,04月01日21:37 来自华为畅享10S,https://weibo.com/1887030707?refer_flag=1001030103_
“你的真正价值，不会因为他人的视而不见而受到任何贬低。”​​​Python语重心长的对C和JAVA说道。,每天都要搞学习,04月01日21:35 来自HUAWEIP30Pro,https://weibo.com/1883637012?refer_flag=1001030103_
【本周新书】#小电新书分享#《机器学习数学基础》：畅销书《跟老齐学Python：轻松入门》、《数据准备和特征工程》、《Python大学实用教程》作者新作！精心提炼机器学习需要的数学知识，易学易懂又好用！本书系统地阐述机器学习的数学基础知识，但并非大学数学教材的翻版，而是以机器学习算法为依据，​展开c,电子工业出版社,04月01日21:33 来自微博weibo.com,https://weibo.com/1971882121?refer_flag=1001030103_
男生的profile爱好不要再是打篮球了statarpython不好吗​,搞子女士,04月01日21:32 来自iPhone客户端,https://weibo.com/7532143244?refer_flag=1001030103_
面试凉凉经历整理（没说要保密那或许能帮到谁？）4.1华为财经——财经数字化工程师邮件叫我预留一个小时，本来后面我是安排了字节的面试，一面结束后5分钟就告诉你通过，然后紧接着就是二面，我直接蒙了，因为我没有预留时间。这也太华为太雷厉风行了，最后我打电话给字节道歉就没有参加这次字节面​展开c,真·懒懒意,04月01日21:30 来自Note9Pro一亿像素,https://weibo.com/7605432366?refer_flag=1001030103_
🙏🙏🙏别用Python打算法我真是谢、、、光是input数据都敲得我手要栓了​,立羽翊1,04月01日21:28 来自荣耀305G,https://weibo.com/5269609433?refer_flag=1001030103_
重生之再给我一次机会就坚决不选python和calculus​,熬夜消灭我,04月01日21:26 来自iPhone客户端,https://weibo.com/7580248101?refer_flag=1001030103_
谢谢你，python。虽然很不想开始写你，但是一旦开始写就可以沉浸进去，还小有成就感​,别叫小郑不举铁,04月01日21:25 来自iPhone客户端,https://weibo.com/5777500916?refer_flag=1001030103_
蓝桥杯（C++），泰迪杯（Python），天梯赛（C++），英语四级，我真的哭死，老师我真的一点都不闲​,蛋黄酥的ro君,04月01日21:21 来自HUAWEIMate40E,https://weibo.com/7679620192?refer_flag=1001030103_
计算机毕设Python毕设求代做，关于用卡尔曼滤波做车辆跟踪的。做过类似的来​,甘小小w,04月01日21:17 来自计算机毕设超话,https://weibo.com/5912379889?refer_flag=1001030103_
Python不要天天晚上这个点来提醒我课程进度​,-飞沙走石-,04月01日21:16 来自微博国际版,https://weibo.com/1019650865?refer_flag=1001030103_
Python，C++你还是把我杀了吧​,蛋黄酥的ro君,04月01日21:16 来自HUAWEIMate40E,https://weibo.com/7679620192?refer_flag=1001030103_
赵泳鑫#赵泳鑫走城门溜粉这件事#今天你发微博，我暑假就去学Python​,橘子奶玺,04月01日21:15 来自赵泳鑫超话,https://weibo.com/6971476324?refer_flag=1001030103_
博客笔记更新：O网页链接1️⃣分析了Flutter框核心的Shell机制，以及在Android端重要的初始化类AndroidShellHolder2️⃣抽空了解了下Pyecharts，功能强大的Echarts在Python下的封装​,Maxiee,04月01日21:14 来自微博HTML5版,https://weibo.com/1240212845?refer_flag=1001030103_
Day14昨天晚上python上课有点饿呜呜​,1小宝要变好1,04月01日21:09 来自iPhone12,https://weibo.com/7444338429?refer_flag=1001030103_
【Pythonfinallyoffloadssomebatteries】O网页链接Python终于卸载了一些模块。​,网路冷眼,04月01日21:00 来自皮皮时光机,https://weibo.com/1715118170?refer_flag=1001030103_
我前不久听说我姐夫在研究python转眼间他已经要开公众号卖教程了​,背刺蛾幼蟲,04月01日20:59 来自iPhone,https://weibo.com/5095363059?refer_flag=1001030103_
2022.4.1听了一节备考雅思GRE的讲座，想到了很早之前我去知乎上搜ETH。早在进这个学校之前，我父母包括我都很喜欢瑞士这个国家，喜欢苏黎世，每次看遇见王沥川都会被沥川和小秋在苏黎世的爱情故事所温暖到。考到这个学校之后，知道可以出国留学，第一个想到的也是去瑞士。但我只知道距离实在是太遥远​展开c,DH_DF,04月01日20:50 来自iPhone客户端,https://weibo.com/6644419232?refer_flag=1001030103_
【Python之路】虽然但是终于开始跑程序了哈哈哈哈哈很简单的一个程序​,匿名木木木颜控,04月01日20:49 来自Redmi10X全芯超越,https://weibo.com/6502358106?refer_flag=1001030103_
【Python之路】,匿名木木木颜控,04月01日20:48 来自Redmi10X全芯超越,https://weibo.com/6502358106?refer_flag=1001030103_
救救Python,悲伤米奇王子,04月01日20:47 来自Note10Pro,https://weibo.com/6660920485?refer_flag=1001030103_
编程技术一直在迭代更新，需要一直不断学习。网课太贵，但是你遇到了我，一切变得美好！随机资料展示：《【KK吧】自动驾驶工程师?》《课程1【M士兵VIP课程】Java高级互联网架构师【M士兵教育】》《【TS汀】软件测试java+Python双语自动化+测开+性能系统涨薪课程9期（软件测试课销量榜​展开c,IT编程资料馆_看置顶找我,04月01日20:42 来自微博weibo.com,https://weibo.com/6419522392?refer_flag=1001030103_
#赵泳鑫走城门溜粉这件事#加码那就清明假期学三天Python吧​,啊啊啊阿渊啊,04月01日20:41 来自OPPOReno6Pro5G,https://weibo.com/5625464950?refer_flag=1001030103_
Python新手小白，求助求助，请问为什么会出现这个问题，该怎么改呀？提示“2”出错了​,hai爱25点一的甜,04月01日20:36 来自Python超话,https://weibo.com/7276152313?refer_flag=1001030103_
我好喜欢概率论！我Python最强！我终于不是母胎solo了！我好爱学习！-愚人节快乐​,枳奥兆,04月01日20:36 来自HUAWEIP40Pro5G,https://weibo.com/2950264161?refer_flag=1001030103_
#成都太古里防疫#川粹哈哈哈哈哈哈哈哈嗝感谢缓解我写Python的痛苦​,厨神刘雨昕的小伞,04月01日20:30 来自OPPOReno6Pro+5G,https://weibo.com/7422377250?refer_flag=1001030103_
【PythonandQtSimplified.CreateaPythonGUIinMinutes】O网页链接Python和Qt简化版。在几分钟内创建PythonGUI。​,网路冷眼,04月01日20:30 来自微博weibo.com,https://weibo.com/1715118170?refer_flag=1001030103_
Python逐渐成为我一生之敌，搞了几个小时，现在重新下载​,初妙铃,04月01日20:28 来自OPPOReno5Pro5G,https://weibo.com/5512359176?refer_flag=1001030103_
Python求指点，这个要怎么搞啊？​,七安83117,04月01日20:28 来自Python超话,https://weibo.com/6591201940?refer_flag=1001030103_
编程技术一直在迭代更新，需要一直不断学习。网课太贵，但是你遇到了我，一切变得美好！随机资料展示：《【NM班】Python自动化37期》《【KK吧】百万架构师011期解/du?》《【MT计划】算法班ai方向（同步更新中）》《【KK吧】人工智能核心能力培养计划007期解/du?》《【KK吧】excel​展开c,IT编程资料馆_看置顶找我,04月01日20:17 来自微博weibo.com,https://weibo.com/6419522392?refer_flag=1001030103_
学python学的想哭的秃头星人​,胡小伢1990,04月01日20:16 来自iPhone客户端,https://weibo.com/2872260260?refer_flag=1001030103_
python​,dy迪迪-,04月01日20:15 来自华为手机畅享玩不停,https://weibo.com/6536137906?refer_flag=1001030103_
《算法导论》第4版给大家准备了一份极为丰厚的礼物，也就是全书算法的Python代码，并附有测试。这条微博，应该转起来！可前往mitp-content-server.mit.edu:18180/books/content/sectbyfn?collid=books_pres_0&id=11599&fn=clrsPython.zip​,算法时空,04月01日20:12 来自微博weibo.com,https://weibo.com/5819320755?refer_flag=1001030103_
python老师当时就觉得厉害,你头发乱了o-_-,04月01日20:06 来自iPhone客户端,https://weibo.com/5624116354?refer_flag=1001030103_
学Python来这里,AnsonLiu8,04月01日20:02 来自nova8我由我掌镜,https://weibo.com/1401648245?refer_flag=1001030103_
【Predictingsystembehaviorandanticipatinganomaliesusingpythonandmachinelearning】O网页链接使用python和机器学习预测系统行为和预测异常。​,网路冷眼,04月01日20:00 来自皮皮时光机,https://weibo.com/1715118170?refer_flag=1001030103_
写了半天，结果不对，真的会伤心不过值得鼓励的是终于会写Python代码啦（拍完照才发现原来屏幕上这么多灰尘）​​​,我的草稿箱子,04月01日19:45 来自荣耀505G,https://weibo.com/6306708165?refer_flag=1001030103_
计算机二级uu们我想问下python二级的考试题目是直接从题库中抽还是全新的呀​,迪迪blu,04月01日19:38 来自计算机二级超话,https://weibo.com/6603448066?refer_flag=1001030103_
哈哈哈哈哈哈哈，这索然无味的Python作业在我看到“小苏”的这一瞬间找到了乐趣，苏新皓，我谢谢你​,皓想吃蛋黄苏,04月01日19:32,https://weibo.com/6500462065?refer_flag=1001030103_
让大神选吃什么，大神当场写出一段代码:“让机器选择……”周周:人工智能……大神真名是不是叫Python.我:中文名叫湃森，英文名Python​,从心升级打怪向前冲,04月01日19:26 来自nova5Pro人像超级夜景,https://weibo.com/5605208446?refer_flag=1001030103_
我有病吧我选cs，学完Python学sql我零基础你让我大学四年学完我还可以理解就这四个月你把我当神仙了？！​,心动巡游记,04月01日19:26 来自HUAWEIP30,https://weibo.com/5915035029?refer_flag=1001030103_
EDG有没有会Python的啊，救救孩子​,EDMYJQ,04月01日19:26 来自EDG超话,https://weibo.com/6346071021?refer_flag=1001030103_
尼玛，Python作业让画流程图是什么魔鬼啊​,Raylene_Pluto,04月01日19:11 来自荣耀X105G,https://weibo.com/5839828030?refer_flag=1001030103_
下个星期开始系统性地学习Python！​,霸王色运气拥有者,04月01日19:10 来自nova7你在焦点在,https://weibo.com/5432081102?refer_flag=1001030103_
diary八爪鱼爬虫是什么我是不是可以跳过Python自学直接用这玩意儿做论文啊(?)​,hastdueinenapfel,04月01日19:08 来自iPhone客户端,https://weibo.com/1522393044?refer_flag=1001030103_
四天小长假一天上课一天搞python一天读文献一天做数学题​,阿喀琉斯斯-,04月01日19:00 来自iPhone客户端,https://weibo.com/2416034001?refer_flag=1001030103_
群里在看python我眼睛一叉看成在看psycho​,powerfeelingboy,04月01日19:00 来自RedmiK30Pro真旗舰,https://weibo.com/5768057488?refer_flag=1001030103_
最近的任务润色论文回复response测一下新的数据审稿学python和zemax希望4月底能投出去6月底能产出下一篇​,洞拐洞拐洞幺洞幺,04月01日18:59 来自iPhone客户端,https://weibo.com/2252097260?refer_flag=1001030103_
收藏『最全的Python量化金融三方库汇总』O最全的Python量化金融三方库汇总​,量化宇宙,04月01日18:55,https://weibo.com/7128556993?refer_flag=1001030103_
"#毕业设计##计算机毕业设计##毕设#毕业设计手上的项目快结束了，可以做比较急的。计算机软件课程设计，毕业设计指导，Java，Python，PHP，jsp,web，人脸识别，安卓Android，机器学习，毕设指导，代码讲解指导​​​。​",_未来尚可期,04月01日18:54 来自iPhone客户端,https://weibo.com/2927512045?refer_flag=1001030103_
老天啊，保佑我可以用python或者C++做毕设吧，java或者R或者go语言我都会原地去世🙏🙏🙏🙏🙏​,槐序朱明,04月01日18:52 来自OPPOR15梦镜版,https://weibo.com/7270401957?refer_flag=1001030103_
风变七周年快乐🎂很开心作为风变学员的日子，在酱酱带领和小伙伴的陪伴下，一起解锁了Python学习的新模式，掌握新技能～很开心作为风变助教的日子，大家一起为学员解决学习上的困难，规划学习路径，讨论怎么去帮助学员更好的学习更开心小伙伴在我的推荐下也报名了风变课程进行学习,东辣西酸_Never,04月01日18:49 来自HUAWEIP40Pro5G,https://weibo.com/6534689789?refer_flag=1001030103_
学不懂python我没有懂得🚬​,YYGSGDQ,04月01日18:48 来自HUAWEIMate40,https://weibo.com/2450254765?refer_flag=1001030103_
没想到金融机构真的会用Python，我他妈为啥不在学校好好学习🙉2重庆·重庆江北嘴中央商务区​,Like_water的张某人,04月01日18:40 来自iPhone客户端,https://weibo.com/3836611300?refer_flag=1001030103_
当👴码完恶心的python调用c#dll控制硬件（虽然还有很多功能可加突然发现黄！鼠！狼！新！冠！阳！了！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈这可不是夺冠快乐吗​展开c,Kkkkkreisler,04月01日18:36 来自HUAWEIP405G,https://weibo.com/3572984891?refer_flag=1001030103_
今年年度目标：python​,出现却离开,04月01日18:32 来自iPhone客户端,https://weibo.com/6584161002?refer_flag=1001030103_
做Python的时候想用case做数据库的时候想用列表表达式，我现在处于所有知识混成一堆乱炖的状态，邯郸学步了​,朝辞夏,04月01日18:32 来自HUAWEIMate30Pro5G,https://weibo.com/6353234443?refer_flag=1001030103_
有思路python敲不出来又是废物的一天好痛苦2合肥​,玫瑰上有星星呀,04月01日18:26 来自iPhone客户端,https://weibo.com/5380826649?refer_flag=1001030103_
我还想给我弟分享上学期Python老师发的那些教程视频什么的。因为这个我觉得太有用了不过考完试我就没什么时间搞这个了,贝克街的甜喵,04月01日18:25 来自nova5Pro人像超级夜景,https://weibo.com/7274400110?refer_flag=1001030103_
就是说本软件废物从Python作业里获取了一种以前解数学题的感觉，做得出做不出都该死的迷人​,sweet2o2dreams,04月01日18:22 来自Android,https://weibo.com/3123568461?refer_flag=1001030103_
希望我能拿到实习机会并且顺利开心的完成🙏希望我能够熟练掌握Python和HTML🙏希望我租房出行全部顺利,倾斜角噩梦_,04月01日18:16,https://weibo.com/6257652936?refer_flag=1001030103_
装了一下午python的我已经不会再爱了​,宇宙草莓甜心,04月01日18:15 来自iPhone客户端,https://weibo.com/2933709540?refer_flag=1001030103_
#深圳实习#招商银行研究院资本市场研究所【工作内容】1.股票市场方向研究2.参与课题研究及相关模型搭建；3.协助研究员撰写报告。【要求】1.熟练运用Python、EXCEL等统计分析软件；熟悉WIND、BLOOMBERG者优先；2.实习地点：深圳；3.实习时间：4月入职，实习至少3个月以上，每周至少​展开c,500强实习精选,04月01日18:13,https://weibo.com/5123178266?refer_flag=1001030103_
南宁二中信息老师告诉你学好Python编程可以这么玩！L广西南宁二中的微博视频​,广西南宁二中,04月01日18:08 来自微博视频号,https://weibo.com/2806145172?refer_flag=1001030103_
啊西为什么不教python还要用python写实验啊我又不是超人​,蝶ddie,04月01日18:03 来自OPPOReno,https://weibo.com/7336553459?refer_flag=1001030103_
最近过的很混沌整个市场不行当然我能力也不太够迷茫也没有别的突破点开始学一点python给4月起了一卦蒙卦也是看不清路没有指引全凭自己又想起大学的校训持中秉正静思笃行​,傻瓜魔法攻击机,04月01日18:01 来自iPhone客户端,https://weibo.com/5552762418?refer_flag=1001030103_
我对不起一年前的我自己//@L_jerry_jr:学吉他学车旅游剪视频学运筹学统计学学C语言学Python考证补转专业短板多看书狂读文献扩充知识体系啊啊啊啊啊啊生活好有奔头！,L_jerry_jr,04月01日17:55 来自HUAWEIMate30Pro5G,https://weibo.com/2323162670?refer_flag=1001030103_
写了两个半小时的Python作业了还没写出来Python要不你还是把我杀了吧​,飞鸟沉眠,04月01日17:55 来自iPhone客户端,https://weibo.com/5447231033?refer_flag=1001030103_
"#python学习#4/1conclusion#importhid##fordevice_dictinhid.enumerate():#keys=list(device_dict.keys())#keys.sort()#forkeyinkeys:#print(""%s:%s""%(key,device_dict[key]))#python学习#1,mouseisahiddevice,notusbdeviceimporthid​展开c",秋林面包2018,04月01日17:53 来自新版微博weibo.com,https://weibo.com/5400832235?refer_flag=1001030103_
风变七周年快乐上Python小课已经快一年啦，从小白到入门，感谢每一位温柔耐心的助教老师，㊗️风变越来越好,爱在兴口难开,04月01日17:50 来自iPhone客户端,https://weibo.com/6580437465?refer_flag=1001030103_
"#python学习#Next1,hidpp.hidpp_interface是什么2,读取bazingaSOCx1004里的percentage​",秋林面包2018,04月01日17:49 来自新版微博weibo.com,https://weibo.com/5400832235?refer_flag=1001030103_
博君一肖或许有人会Python莫？救孩子一命吧​,蜗牛等等我·,04月01日17:47 来自博君一肖超话,https://weibo.com/5966052637?refer_flag=1001030103_
祝风变7周年快乐，自从学习Python就了解到风变科技，真的是很棒的一个企业，不管是助教还是我们风变科技的每一位工作人员，他们都认真对待工作，耐心为我们解答任何问题，风变的发展也是很迅速，希望风变越来越强大，未来可期@风变科技,Cal44,04月01日17:45 来自vivoY9s超颜值自拍,https://weibo.com/6608605891?refer_flag=1001030103_
虽然我不知道我学了能有什么用，但我最近在学Python，学得很开心～大学时有一门R语言的课，当时也学得很开心，嗐，就当个兴趣嘛。​,阿昭月,04月01日17:43 来自HUAWEIMate40Pro,https://weibo.com/7465642352?refer_flag=1001030103_
2022.4.1学习笔记在做3D图的时候出现报错解决办法:File>Settings>Tools>PythonScientific>showplotsintoolwindow取消勾选的showplotsintoolwindow点击Apply再点击OK​,沈若钦,04月01日17:41 来自iPhone客户端,https://weibo.com/5225536089?refer_flag=1001030103_
Python3CheatSheetO网页链接​,跟黄哥学编程,04月01日17:41 来自微博weibo.com,https://weibo.com/1631501663?refer_flag=1001030103_
大学的时候买过风变的python课程，实操真的很有趣，当时做出了皮卡丘，而且永久使用，真的很棒。现在工作了也没放弃学习，祝贺风变7周年，之后也一起学习，变得越来越好呀！蒸蒸日上，红红火火！,兔田烦离,04月01日17:40,https://weibo.com/6380785858?refer_flag=1001030103_
从熊猫书院到风变科技，关注风变多年，一路见证了风变的发展，最近跟着风变学python，祝风变越来越好！引领科技前沿！,墨竹林,04月01日17:40 来自HUAWEIMate40Pro,https://weibo.com/1354808962?refer_flag=1001030103_
昨天晚上刷抖音刷着刷着睡着了今天下午上Python课上着上着睡着了下课后刷抖音刷着刷着又差点睡着了我可能也被余答应下药了​,Qiul_P,04月01日17:32 来自小米10,https://weibo.com/5466407478?refer_flag=1001030103_
计算机二级小黑老师课程、题库，office安装包、Excel专题、PPT专题、Word和真题专题都有，Python和C语言课程也有，需要滴我🈚️尝!​!​​​​,coco桃子熟了,04月01日17:30 来自计算机二级超话,https://weibo.com/7729990424?refer_flag=1001030103_
python用不好是真不行，一页代码的活儿用excel算了俩小时，太low了​,你这纯属抬杠了昂,04月01日17:29 来自iPhone客户端,https://weibo.com/7394355736?refer_flag=1001030103_
我真醉了python作业​,原原子的成长日记,04月01日17:20 来自iPhone客户端,https://weibo.com/5622227547?refer_flag=1001030103_
从Python转到C++的感觉​,全球IT人,04月01日17:14 来自即刻笔记,https://weibo.com/1787868044?refer_flag=1001030103_
✅Java✅Python✅Web前端[机智]选对好行业[机智]自有好前途[爱心]学软件赚高薪[爱心]优选爱尚教育[爱心]爱尚教育—120天圆您高薪就业梦​,无敌的小李老师,04月01日17:10 来自iPhone客户端,https://weibo.com/6414629845?refer_flag=1001030103_
待在江阴的偏僻小镇学一年python吧2南京·南京农业大学图书馆​,身高八米的人,04月01日17:08 来自iPhone客户端,https://weibo.com/3017197133?refer_flag=1001030103_
说起程序员经常使用的IDE，那Jetbrains系列软件一定榜上有名，尤其是IntelliJIDEA之于Java程序员，Pycharm之于Python，GoLand之于Go，PhpStorm之于PHP，这些软件无不是程序员的心头大爱，因此Jetbrains出的数据分析报告也就非常值得一看了。比如中国有将近47%的程序员从事Java开发，韩国是53%，德国​展开c,李东bbsky丨技术普及,04月01日17:08 来自iPhone客户端,https://weibo.com/1750990742?refer_flag=1001030103_
我仅剩一点的生活热情在上完python实验课之后消失殆尽，扭葫芦炊炊已经死了，现在是林黛玉炊炊​,扭葫芦炊炊,04月01日17:07 来自iPhone客户端,https://weibo.com/5172332406?refer_flag=1001030103_
青海西宁妙想科创～等你的到来～乐高机器人～科学实验～少儿编程从scratch-wedo-python-c++每一天都要成为最快乐的自己欢迎👏咨询呀[机智][机智][机智][机智][机智]@大青海网2西宁L亲亲袋鼠国际早教西宁中心的微博视频​,亲亲袋鼠国际早教西宁中心,04月01日17:00 来自iPhone客户端,https://weibo.com/3520434492?refer_flag=1001030103_
科技之春|馆员荐书:《父与子的编程之旅：：与小卡特一起学Python》​,岐图8214101,04月01日16:54 来自新版微博weibo.com,https://weibo.com/3921686995?refer_flag=1001030103_
python你是我亲爹​,girl-in-blackOMG,04月01日16:49 来自iPhone,https://weibo.com/3176868160?refer_flag=1001030103_
一下午看了几十份判决，每当这种时候就想会python是多么的香​,__Torschlusspanik,04月01日16:49 来自iPhone客户端,https://weibo.com/1849658497?refer_flag=1001030103_
#实在不行就换个专业吧#没想到逃过了数学又来了个Python，无语=_==_==_=​,南羡时雨,04月01日16:47 来自Android,https://weibo.com/1111641214?refer_flag=1001030103_
Python不想让我做作业就直说​,木啊木啊叭,04月01日16:42 来自荣耀50SE5G,https://weibo.com/7625787020?refer_flag=1001030103_
发布了头条文章：《ZEMAX|使用ZOS-API交互扩展连接Python与OpticStudio》OZEMAX|使用ZOS-API交互扩展连接Python与OpticStudio​,宇熠科技,04月01日16:42 来自微博weibo.com,https://weibo.com/2185075743?refer_flag=1001030103_
Pythonpython有没有推荐的入门网课啊（最最基础的那种）文科生哭了，上课根本听不懂啊​,八月恋浅夏,04月01日16:40 来自Python超话,https://weibo.com/6484010033?refer_flag=1001030103_
学会gis之后又学会了ucinet(其实都只会一点点）找什么实习爷不找了也不焦虑了爷下个目标是python(开玩笑​,最擅长提拉米苏的面包店老板李姨,04月01日16:40 来自Android,https://weibo.com/1924900343?refer_flag=1001030103_
quiz出分，不好意思，略有失误~留学生作业出国留学留学辅导，等有缘人~无中介无中介无中介！统计大牛，Python，R语言，SPSS，eviews，stata各类统计软件~金融资产定价，金融概论，DCF估值，衍生品，并购~会计合并报表，财务分析~xhero~管理essay，运营管理，酒店管​展开c,某华同学,04月01日16:34 来自出国留学超话,https://weibo.com/6000416628?refer_flag=1001030103_
